ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
SFC.AX,Automobiles & Components,high_eps,per_industry,1,eps,1.79,0.24,SCHAFFER CORPORATION LIMITED,SFC
ARB.AX,Automobiles & Components,high_eps,per_industry,2,eps,1.18,0.24,ARB CORPORATION LIMITED.,ARB
CBA.AX,Banks,high_eps,per_industry,1,eps,6.06,1.1308333333333334,COMMONWEALTH BANK OF AUSTRALIA.,CBA
NAB.AX,Banks,high_eps,per_industry,2,eps,2.21,1.1308333333333334,NATIONAL AUSTRALIA BANK LIMITED,NAB
KOV.AX,Capital Goods,high_eps,per_industry,1,eps,1.11,0.11452054794520547,KORVEST LTD,KOV
LYL.AX,Capital Goods,high_eps,per_industry,2,eps,1.06,0.11452054794520547,LYCOPODIUM LIMITED,LYL
DGT.AX,Class Pend,high_eps,per_industry,1,eps,0.05228,-0.15377172000000003,DIGICO INFRASTRUCTURE REIT,DGT
EQU.AX,Class Pend,high_eps,per_industry,2,eps,0.0,-0.15377172000000003,EQUUS ENERGY LIMITED,EQU
CPU.AX,Commercial & Professional Services,high_eps,per_industry,1,eps,1.56,0.12000000000000001,COMPUTERSHARE LIMITED.,CPU
MMS.AX,Commercial & Professional Services,high_eps,per_industry,2,eps,1.37,0.12000000000000001,MCMILLAN SHAKESPEARE LIMITED,MMS
JBH.AX,Consumer Discretionary Distribution & Retail,high_eps,per_industry,1,eps,4.22,0.35789473684210527,JB HI-FI LIMITED,JBH
WES.AX,Consumer Discretionary Distribution & Retail,high_eps,per_industry,2,eps,2.58,0.35789473684210527,WESFARMERS LIMITED,WES
BRG.AX,Consumer Durables & Apparel,high_eps,per_industry,1,eps,0.93,0.125,BREVILLE GROUP LIMITED,BRG
WAT.AX,Consumer Durables & Apparel,high_eps,per_industry,2,eps,0.27,0.125,WATERCO LIMITED,WAT
LNW.AX,Consumer Services,high_eps,per_industry,1,eps,6.94,0.26880952380952383,LIGHT & WONDER INC.,LNW
ALL.AX,Consumer Services,high_eps,per_industry,2,eps,1.89,0.26880952380952383,ARISTOCRAT LEISURE LIMITED,ALL
COL.AX,Consumer Staples Distribution & Retail,high_eps,per_industry,1,eps,0.81,0.3766666666666667,COLES GROUP LIMITED.,COL
WOW.AX,Consumer Staples Distribution & Retail,high_eps,per_industry,2,eps,0.78,0.3766666666666667,WOOLWORTHS GROUP LIMITED,WOW
WDS.AX,Energy,high_eps,per_industry,1,eps,2.34,0.008512396694214877,WOODSIDE ENERGY GROUP LTD,WDS
WHC.AX,Energy,high_eps,per_industry,2,eps,0.8,0.008512396694214877,WHITEHAVEN COAL LIMITED,WHC
APW.AX,Equity Real Estate Investment Trusts (REITs),high_eps,per_industry,1,eps,1.18,0.18846153846153846,AIMS PROPERTY SECURITIES FUND,APW
GMG.AX,Equity Real Estate Investment Trusts (REITs),high_eps,per_industry,2,eps,0.86,0.18846153846153846,GOODMAN GROUP,GMG
MQG.AX,Financial Services,high_eps,per_industry,1,eps,10.98,0.3772172631578947,MACQUARIE GROUP LIMITED,MQG
XYZ.AX,Financial Services,high_eps,per_industry,2,eps,7.53,0.3772172631578947,"BLOCK, INC.",XYZ
FFI.AX,"Food, Beverage & Tobacco",high_eps,per_industry,1,eps,0.61,0.025625405405405404,FFI HOLDINGS LIMITED,FFI
TWE.AX,"Food, Beverage & Tobacco",high_eps,per_industry,2,eps,0.54,0.025625405405405404,TREASURY WINE ESTATES LIMITED,TWE
COH.AX,Health Care Equipment & Services,high_eps,per_industry,1,eps,5.95,0.08630390243902439,COCHLEAR LIMITED,COH
RMD.AX,Health Care Equipment & Services,high_eps,per_industry,2,eps,1.48,0.08630390243902439,RESMED INC,RMD
S66.AX,Household & Personal Products,high_eps,per_industry,1,eps,0.04,-0.011818181818181818,STAR COMBO PHARMA LIMITED,S66
