ticker,industry,strategy,mode,rank,metric_name,metric_value,industry_avg,company_name,asx_code
CLZ.AX,Materials,low_pe_relative_industry,overall,1,pe_relative,3.793269026903326e-05,,CLASSIC MINERALS LTD,CLZ
SVG.AX,Materials,low_pe_relative_industry,overall,2,pe_relative,0.0003129446769859915,,SAVANNAH GOLDFIELDS LIMITED,SVG
EM2.AX,Materials,low_pe_relative_industry,overall,3,pe_relative,0.0006181623738484545,,EAGLE MOUNTAIN MINING LIMITED,EM2
RAN.AX,Materials,low_pe_relative_industry,overall,4,pe_relative,0.0008941277319833238,,RANGE INTERNATIONAL LIMITED,RAN
CAN.AX,"Pharmaceuticals, Biotechnology & Life Sciences",low_pe_relative_industry,overall,5,pe_relative,0.0009434420403267327,,CANN GROUP LIMITED,CAN
IDA.AX,Materials,low_pe_relative_industry,overall,6,pe_relative,0.005146201350244531,,INDIANA RESOURCES LIMITED,IDA
EWC.AX,Utilities,low_pe_relative_industry,overall,7,pe_relative,0.005787596699766036,,ENERGY WORLD CORPORATION LTD,EWC
BDM.AX,Materials,low_pe_relative_industry,overall,8,pe_relative,0.005911178182382255,,BURGUNDY DIAMOND MINES LIMITED,BDM
KNM.AX,Media & Entertainment,low_pe_relative_industry,overall,9,pe_relative,0.00724863121327178,,KNEOMEDIA LIMITED,KNM
MRC.AX,Materials,low_pe_relative_industry,overall,10,pe_relative,0.007749106982704833,,MINERAL COMMODITIES LTD,MRC
BCB.AX,Materials,low_pe_relative_industry,overall,11,pe_relative,0.010758550518318992,,BOWEN COKING COAL LIMITED,BCB
BNL.AX,Energy,low_pe_relative_industry,overall,12,pe_relative,0.01162541251032481,,BLUE STAR HELIUM LIMITED,BNL
MVL.AX,Materials,low_pe_relative_industry,overall,13,pe_relative,0.011822355947504913,,MARVEL GOLD LIMITED,MVL
AJX.AX,Materials,low_pe_relative_industry,overall,14,pe_relative,0.014604086942767656,,ALEXIUM INTERNATIONAL GROUP LIMITED,AJX
ILA.AX,"Pharmaceuticals, Biotechnology & Life Sciences",low_pe_relative_industry,overall,15,pe_relative,0.015145886375704957,,ISLAND PHARMACEUTICALS LIMITED,ILA
MSI.AX,Capital Goods,low_pe_relative_industry,overall,16,pe_relative,0.01692512627378324,,MULTISTACK INTERNATIONAL LIMITED,MSI
VBX.AX,Materials,low_pe_relative_industry,overall,17,pe_relative,0.01914878146187265,,VBX LIMITED,VBX
BSX.AX,Materials,low_pe_relative_industry,overall,18,pe_relative,0.019611199813423415,,BLACKSTONE MINERALS LIMITED,BSX
IR1.AX,Materials,low_pe_relative_industry,overall,19,pe_relative,0.020341404525663943,,IRIS METALS LIMITED,IR1
ANR.AX,"Pharmaceuticals, Biotechnology & Life Sciences",low_pe_relative_industry,overall,20,pe_relative,0.0220136513813923,,ANATARA LIFESCIENCES LTD,ANR
AZ9.AX,Materials,low_pe_relative_industry,overall,21,pe_relative,0.0239924268350878,,ASIAN BATTERY METALS PLC,AZ9
LU7.AX,Materials,low_pe_relative_industry,overall,22,pe_relative,0.025035575827917707,,LITHIUM UNIVERSE LIMITED,LU7
NOR.AX,Software & Services,low_pe_relative_industry,overall,23,pe_relative,0.025052293006751145,,NORWOOD SYSTEMS LIMITED,NOR
X2M.AX,Technology Hardware & Equipment,low_pe_relative_industry,overall,24,pe_relative,0.026491687178296995,,X2M CONNECT LIMITED,X2M
DTI.AX,Technology Hardware & Equipment,low_pe_relative_industry,overall,25,pe_relative,0.029140855896126697,,DTI GROUP LTD,DTI
BKT.AX,Materials,low_pe_relative_industry,overall,26,pe_relative,0.03129446978489714,,BLACK ROCK MINING LIMITED,BKT
RTR.AX,Materials,low_pe_relative_industry,overall,27,pe_relative,0.032899314870704216,,RUMBLE RESOURCES LIMITED,RTR
CLG.AX,Commercial & Professional Services,low_pe_relative_industry,overall,28,pe_relative,0.0351859545866296,,CLOSE THE LOOP LTD.,CLG
DCC.AX,Software & Services,low_pe_relative_industry,overall,29,pe_relative,0.0366837157185192,,DIGITALX LIMITED,DCC
RCM.AX,Materials,low_pe_relative_industry,overall,30,pe_relative,0.03824879779462849,,RAPID CRITICAL METALS LIMITED,RCM
NMT.AX,Materials,low_pe_relative_industry,overall,31,pe_relative,0.03894423184738042,,NEOMETALS LTD,NMT
CCG.AX,Telecommunication Services,low_pe_relative_industry,overall,32,pe_relative,0.04042294950341503,,COMMS GROUP LTD,CCG
GW1.AX,Materials,low_pe_relative_industry,overall,33,pe_relative,0.04172595971319618,,GREENWING RESOURCES LTD,GW1
KSN.AX,Materials,low_pe_relative_industry,overall,34,pe_relative,0.043464544845076,,KINGSTON RESOURCES LIMITED,KSN
BPH.AX,Financial Services,low_pe_relative_industry,overall,35,pe_relative,0.04686100320795803,,BPH ENERGY LTD,BPH
HGO.AX,Materials,low_pe_relative_industry,overall,36,pe_relative,0.04695073208872966,,HILLGROVE RESOURCES LIMITED,HGO
ADN.AX,Materials,low_pe_relative_industry,overall,37,pe_relative,0.050071151655835415,,ANDROMEDA METALS LIMITED,ADN
IRD.AX,Materials,low_pe_relative_industry,overall,38,pe_relative,0.05215744964149523,,IRON ROAD LIMITED,IRD
G6M.AX,Materials,low_pe_relative_industry,overall,39,pe_relative,0.05215744964149523,,GROUP 6 METALS LIMITED,G6M
AVD.AX,Commercial & Professional Services,low_pe_relative_industry,overall,40,pe_relative,0.05265078738042491,,AVADA GROUP LIMITED,AVD
MM8.AX,Materials,low_pe_relative_industry,overall,41,pe_relative,0.055616529615421205,,MEDALLION METALS LIMITED.,MM8
OBL.AX,Financial Services,low_pe_relative_industry,overall,42,pe_relative,0.05810002437874635,,OMNI BRIDGEWAY LIMITED,OBL
AGY.AX,Materials,low_pe_relative_industry,overall,43,pe_relative,0.06258893956979428,,ARGOSY MINERALS LIMITED,AGY
MFD.AX,Consumer Services,low_pe_relative_industry,overall,44,pe_relative,0.06705594854514683,,MAYFIELD CHILDCARE LIMITED,MFD
SFX.AX,Materials,low_pe_relative_industry,overall,45,pe_relative,0.06944115163831951,,SHEFFIELD RESOURCES LIMITED,SFX
TIA.AX,Real Estate Management & Development,low_pe_relative_industry,overall,46,pe_relative,0.06999751342567703,,TIAN AN AUSTRALIA LIMITED,TIA
KBC.AX,Financial Services,low_pe_relative_industry,overall,47,pe_relative,0.0734155685684007,,KEYBRIDGE CAPITAL LIMITED,KBC
MMI.AX,Materials,low_pe_relative_industry,overall,48,pe_relative,0.07406358266351919,,METRO MINING LIMITED,MMI
CNB.AX,Materials,low_pe_relative_industry,overall,49,pe_relative,0.0748927484171519,,CARNABY RESOURCES LIMITED,CNB
AFA.AX,Financial Services,low_pe_relative_industry,overall,50,pe_relative,0.07497760513273286,,ASF GROUP LIMITED,AFA
